cell_id,model,persona,construct_id,left,right,cluster
A_N_run1,M1,neutral,C_M1_1,"Justifies via tangible business assets (E1, E2)",Justifies via competitor workflow reimagination (E5),1
A_N_run1,M1,neutral,C_M1_2,"Frames threat as workflow ownership erosion (E1, E5)",Frames threat as customer churn dynamics (E4),0
A_N_run1,M1,neutral,C_M1_3,"Explicitly rejects alternative options to recommend (E3, E4)",Affirmatively advocates integration without dismissing alternatives (E1),7
A_N_run1,M2,neutral,C_M2_1,E2/E3: Constraint-led strategic infeasibility,E4: Churn-led customer threat urgency,1
A_N_run1,M2,neutral,C_M2_2,E1/E2: Installed-base distribution leverage,E3: Resource-constrained competitive realism,1
A_N_run1,M2,neutral,C_M2_3,E4/E5: Customer-workflow disruption focus,E3: Strategic limits and resource realism,1
A_N_run1,M3,neutral,C_M3_1,*   Make sure they accurately reflect TWO of the responses,the THIRD.,8
A_N_run1,M4,neutral,C_M4_1,Distribution and installed base focus,Workflow and customer trust focus,7
A_N_run1,M4,neutral,C_M4_2,Threat framed as customer defection,Threat framed as competitor reimagination,0
A_N_run1,M4,neutral,C_M4_3,Workflow and trust defensibility,Depth and constraint defensibility,7
A_N_run2,M1,neutral,C_M1_1,Explicitly evaluates and rejects alternative options,Focuses solely on defending the recommended option,7
A_N_run2,M1,neutral,C_M1_2,Frames around customer renewal and churn risk,Frames around distribution and installed-base assets,0
A_N_run2,M1,neutral,C_M1_3,Emphasizes external competitive threats driving urgency,Emphasizes internal assets and product obsolescence risk,0
A_N_run2,M2,neutral,C_M2_1,Churn and renewal defense,Broader strategic advantage creation,0
A_N_run2,M2,neutral,C_M2_2,Explicit tradeoff against new initiatives,Standalone strategic necessity framing,7
A_N_run2,M2,neutral,C_M2_3,Core product obsolescence threat,Resource-allocation opportunity cost,0
A_N_run2,M3,neutral,C_M3_1,Focuses explicitly on customer churn and renewal rates,Focuses on core product obsolescence and workflow inferiority,0
A_N_run2,M3,neutral,C_M3_2,"Highlights competitors offering faster, cheaper, or smarter features",Highlights existing structural moats and customer switching costs,0
A_N_run2,M4,neutral,C_M4_1,Explicitly evaluates and dismisses other investment options,Argues solely for the primary recommendation without comparison,7
A_N_run2,M4,neutral,C_M4_2,Explicitly evaluates and dismisses other investment options,Argues solely for the primary recommendation without comparison,7
A_N_run2,M4,neutral,C_M4_3,Explicitly evaluates and dismisses other investment options,Argues solely for the primary recommendation without comparison,7
A_N_run2,M5,neutral,C_M5_1,Competitive moat and durable advantage strategy,Asset depreciation and renewal economics,0
A_N_run2,M5,neutral,C_M5_2,Strategic competitive threat diagnosis,Resource constraint and alternative pragmatism,7
A_N_run2,M5,neutral,C_M5_3,Strategic advantage and risk positioning,Asset depreciation and renewal economics,0
A_N_run3,M1,neutral,C_M1_1,"Frames asset as distribution/customer base (E2, E5)",Frames asset as product workflow transformation (E1),1
A_N_run3,M1,neutral,C_M1_2,"Defensive framing against obsolescence (E2, E5)",Dual offensive-defensive existential pivot (E3),1
A_N_run3,M1,neutral,C_M1_3,"Emphasizes competitive threat from rivals (E2, E3)",Emphasizes internal asset depreciation risk (E4),1
A_N_run3,M2,neutral,C_M2_1,Distribution moat against AI-native startups,Twelve-month execution feasibility,0
A_N_run3,M2,neutral,C_M2_2,Existential core-product defense,Near-term revenue-stream practicality,0
A_N_run3,M2,neutral,C_M2_3,Workflow obsolescence and switching-risk focus,Distribution advantage over startup customer acquisition,0
A_N_run3,M3,neutral,C_M3_1,Focuses on user UX and product feel,Focuses on go-to-market and distribution advantages,0
A_N_run3,M3,neutral,C_M3_2,Explicitly names distinct competitor types,Refers broadly to general AI disruption,0
A_N_run3,M4,neutral,C_M4_1,Time constraint focus,Asset leverage focus,7
A_N_run3,M4,neutral,C_M4_2,Product experience framing,Asset depreciation framing,0
A_N_run3,M4,neutral,C_M4_3,Trust emphasis,No trust emphasis,7
A_N_run3,M5,neutral,C_M5_1,Workflow integration and data ownership,Distribution and customer acquisition advantage,0
A_N_run3,M5,neutral,C_M5_2,Existential risk and defensive imperative,Functional obsolescence and asset enumeration,2
A_N_run3,M5,neutral,C_M5_3,Constraints on building from scratch,Strategic defensive-offensive pivot framing,7
A_N_run4,M1,neutral,C_M1_1,Frames moat as customer embedding and workflow position,Frames moat as distribution channels and revenue defense,0
A_N_run4,M1,neutral,C_M1_2,Threat framed as losing usage to external layers,Threat framed as core product becoming obsolete,7
A_N_run4,M1,neutral,C_M1_3,Defensive framing against competitor encroachment,Constructive framing of product reinvention,0
A_N_run4,M2,neutral,C_M2_1,External AI layer displacement threat,General customer-distribution moat framing,0
A_N_run4,M2,neutral,C_M2_2,Installed-base asset leverage,Flagship obsolescence defense,0
A_N_run4,M2,neutral,C_M2_3,Customer and distribution assets as moat,Core product reinvention as moat,0
A_N_run4,M3,neutral,C_M3_1,Option A explicitly,E5?,1
A_N_run4,M4,neutral,C_M4_1,Asset-centric justification,Imperative-centric justification,7
A_N_run4,M4,neutral,C_M4_2,Moat stems from customer base,Moat stems from AI-enhanced product,0
A_N_run4,M4,neutral,C_M4_3,Embedded customer position as moat,Product itself as the moat,0
A_N_run5,M1,neutral,C_M1_1,"Frames recommendation around concrete asset stack (E2, E5)",Frames recommendation around strategic question reframing (E1),7
A_N_run5,M1,neutral,C_M1_2,"Emphasizes external threat of churn and competitors (E1, E4)",Emphasizes internal advantage of distribution strength (E5),1
A_N_run5,M1,neutral,C_M1_3,"Explicitly names defense against obsolescence as goal (E2, E3)",Frames as leveraging assets without obsolescence framing (E1),1
A_N_run5,M2,neutral,C_M2_1,12-month budget-constrained execution framing,Broader strategic obsolescence framing,0
A_N_run5,M2,neutral,C_M2_2,Defensive churn and obsolescence focus,Distribution-led return-on-capital focus,0
A_N_run5,M2,neutral,C_M2_3,Internal workflow and asset leverage,External competitor and churn threat framing,0
A_N_run5,M4,neutral,C_M4_1,AI as product enhancement,AI as workflow transformation,0
A_N_run5,M4,neutral,C_M4_2,AI as product enhancement,AI as workflow transformation,0
A_N_run5,M4,neutral,C_M4_3,AI as workflow transformation,AI as product enhancement,0
A_N_run5,M5,neutral,C_M5_1,Installed base and workflow data centrality,Distribution and enterprise contracts centrality,0
A_N_run5,M5,neutral,C_M5_2,Singular defensive leverage focus,Dual defense-transformation imperative,7
A_N_run5,M5,neutral,C_M5_3,Negative definition of strategic assets,Positive inventory of asset portfolio,0
A_P_run1,M2,S,C_M2_1,Stakeholder-harm ethics,Business-system performance logic,2
A_P_run1,M2,S,C_M2_2,Principle-first abstraction,Evidence-gated decision discipline,7
A_P_run1,M2,S,C_M2_3,AI as workflow-product disruption,AI as unproven strategic premise,0
A_P_run1,M3,E,C_M3_1,Treats firm as a moral engine minimizing human harm,Treats firm as an operational engine optimizing systemic leverage,2
A_P_run1,M3,E,C_M3_2,Strategy dictated by internal social and ethical obligations,Strategy dictated by external structural and competitive constraints,2
A_P_run1,M4,H,C_M4_1,Skeptical of AI-driven product disruption,Advocates AI integration as existential,0
A_P_run1,M4,H,C_M4_2,Challenges AI disruption narrative with evidence,Accepts AI disruption as immediate imperative,8
A_P_run1,M4,H,C_M4_3,Centers human and relational dimensions,Reduces to a mechanical system,8
A_P_run1,M5,C,C_M5_1,Challenging disruption narrative validity,Centering stakeholder vulnerability ethics,2
