rater,construct,construct_origin,element,rating,left,right
M1,C_M1_1,M1,E1,7,"Frames asset as distribution/customer base (E2, E5)",Frames asset as product workflow transformation (E1)
M1,C_M1_1,M1,E2,1,"Frames asset as distribution/customer base (E2, E5)",Frames asset as product workflow transformation (E1)
M1,C_M1_1,M1,E3,3,"Frames asset as distribution/customer base (E2, E5)",Frames asset as product workflow transformation (E1)
M1,C_M1_1,M1,E4,3,"Frames asset as distribution/customer base (E2, E5)",Frames asset as product workflow transformation (E1)
M1,C_M1_1,M1,E5,2,"Frames asset as distribution/customer base (E2, E5)",Frames asset as product workflow transformation (E1)
M1,C_M1_2,M1,E1,4,"Defensive framing against obsolescence (E2, E5)",Dual offensive-defensive existential pivot (E3)
M1,C_M1_2,M1,E2,1,"Defensive framing against obsolescence (E2, E5)",Dual offensive-defensive existential pivot (E3)
M1,C_M1_2,M1,E3,7,"Defensive framing against obsolescence (E2, E5)",Dual offensive-defensive existential pivot (E3)
M1,C_M1_2,M1,E4,2,"Defensive framing against obsolescence (E2, E5)",Dual offensive-defensive existential pivot (E3)
M1,C_M1_2,M1,E5,2,"Defensive framing against obsolescence (E2, E5)",Dual offensive-defensive existential pivot (E3)
M1,C_M1_3,M1,E1,4,"Emphasizes competitive threat from rivals (E2, E3)",Emphasizes internal asset depreciation risk (E4)
M1,C_M1_3,M1,E2,2,"Emphasizes competitive threat from rivals (E2, E3)",Emphasizes internal asset depreciation risk (E4)
M1,C_M1_3,M1,E3,2,"Emphasizes competitive threat from rivals (E2, E3)",Emphasizes internal asset depreciation risk (E4)
M1,C_M1_3,M1,E4,7,"Emphasizes competitive threat from rivals (E2, E3)",Emphasizes internal asset depreciation risk (E4)
M1,C_M1_3,M1,E5,5,"Emphasizes competitive threat from rivals (E2, E3)",Emphasizes internal asset depreciation risk (E4)
M1,C_M2_1,M2,E1,6,Distribution moat against AI-native startups,Twelve-month execution feasibility
M1,C_M2_1,M2,E2,2,Distribution moat against AI-native startups,Twelve-month execution feasibility
M1,C_M2_1,M2,E3,4,Distribution moat against AI-native startups,Twelve-month execution feasibility
M1,C_M2_1,M2,E4,3,Distribution moat against AI-native startups,Twelve-month execution feasibility
M1,C_M2_1,M2,E5,3,Distribution moat against AI-native startups,Twelve-month execution feasibility
M1,C_M2_2,M2,E1,3,Existential core-product defense,Near-term revenue-stream practicality
M1,C_M2_2,M2,E2,3,Existential core-product defense,Near-term revenue-stream practicality
M1,C_M2_2,M2,E3,2,Existential core-product defense,Near-term revenue-stream practicality
M1,C_M2_2,M2,E4,2,Existential core-product defense,Near-term revenue-stream practicality
M1,C_M2_2,M2,E5,3,Existential core-product defense,Near-term revenue-stream practicality
M1,C_M2_3,M2,E1,2,Workflow obsolescence and switching-risk focus,Distribution advantage over startup customer acquisition
M1,C_M2_3,M2,E2,7,Workflow obsolescence and switching-risk focus,Distribution advantage over startup customer acquisition
M1,C_M2_3,M2,E3,3,Workflow obsolescence and switching-risk focus,Distribution advantage over startup customer acquisition
M1,C_M2_3,M2,E4,2,Workflow obsolescence and switching-risk focus,Distribution advantage over startup customer acquisition
M1,C_M2_3,M2,E5,2,Workflow obsolescence and switching-risk focus,Distribution advantage over startup customer acquisition
M1,C_M3_1,M3,E1,2,Focuses on user UX and product feel,Focuses on go-to-market and distribution advantages
M1,C_M3_1,M3,E2,6,Focuses on user UX and product feel,Focuses on go-to-market and distribution advantages
M1,C_M3_1,M3,E3,3,Focuses on user UX and product feel,Focuses on go-to-market and distribution advantages
M1,C_M3_1,M3,E4,4,Focuses on user UX and product feel,Focuses on go-to-market and distribution advantages
M1,C_M3_1,M3,E5,3,Focuses on user UX and product feel,Focuses on go-to-market and distribution advantages
M1,C_M3_2,M3,E1,7,Explicitly names distinct competitor types,Refers broadly to general AI disruption
M1,C_M3_2,M3,E2,2,Explicitly names distinct competitor types,Refers broadly to general AI disruption
M1,C_M3_2,M3,E3,5,Explicitly names distinct competitor types,Refers broadly to general AI disruption
M1,C_M3_2,M3,E4,2,Explicitly names distinct competitor types,Refers broadly to general AI disruption
M1,C_M3_2,M3,E5,6,Explicitly names distinct competitor types,Refers broadly to general AI disruption
M1,C_M4_1,M4,E1,3,Time constraint focus,Asset leverage focus
M1,C_M4_1,M4,E2,6,Time constraint focus,Asset leverage focus
M1,C_M4_1,M4,E3,6,Time constraint focus,Asset leverage focus
M1,C_M4_1,M4,E4,6,Time constraint focus,Asset leverage focus
M1,C_M4_1,M4,E5,6,Time constraint focus,Asset leverage focus
M1,C_M4_2,M4,E1,2,Product experience framing,Asset depreciation framing
