rater,construct,construct_origin,element,rating,left,right
M1,C_M1_1,M1,E1,7,"E3, E5 — recommend a substantive option with reasoning",E1 — recommends based on disconfirming the team's consensus
M1,C_M1_1,M1,E2,1,"E3, E5 — recommend a substantive option with reasoning",E1 — recommends based on disconfirming the team's consensus
M1,C_M1_1,M1,E3,2,"E3, E5 — recommend a substantive option with reasoning",E1 — recommends based on disconfirming the team's consensus
M1,C_M1_1,M1,E4,1,"E3, E5 — recommend a substantive option with reasoning",E1 — recommends based on disconfirming the team's consensus
M1,C_M1_1,M1,E5,1,"E3, E5 — recommend a substantive option with reasoning",E1 — recommends based on disconfirming the team's consensus
M1,C_M1_2,M1,E1,7,Choice driven by substantive product/user evidence,Choice driven by anti-consensus meta-heuristic
M1,C_M1_2,M1,E2,1,Choice driven by substantive product/user evidence,Choice driven by anti-consensus meta-heuristic
M1,C_M1_2,M1,E3,3,Choice driven by substantive product/user evidence,Choice driven by anti-consensus meta-heuristic
M1,C_M1_2,M1,E4,2,Choice driven by substantive product/user evidence,Choice driven by anti-consensus meta-heuristic
M1,C_M1_2,M1,E5,1,Choice driven by substantive product/user evidence,Choice driven by anti-consensus meta-heuristic
M1,C_M1_3,M1,E1,7,Recommends Option A based on category-specific commercial logic,Recommends contrarian option from epistemic-hygiene principle
M1,C_M1_3,M1,E2,1,Recommends Option A based on category-specific commercial logic,Recommends contrarian option from epistemic-hygiene principle
M1,C_M1_3,M1,E3,5,Recommends Option A based on category-specific commercial logic,Recommends contrarian option from epistemic-hygiene principle
M1,C_M1_3,M1,E4,2,Recommends Option A based on category-specific commercial logic,Recommends contrarian option from epistemic-hygiene principle
M1,C_M1_3,M1,E5,1,Recommends Option A based on category-specific commercial logic,Recommends contrarian option from epistemic-hygiene principle
M1,C_M2_1,M2,E1,7,Mastery-led category legitimation,Contrarian external stress-testing
M1,C_M2_1,M2,E2,2,Mastery-led category legitimation,Contrarian external stress-testing
M1,C_M2_1,M2,E3,4,Mastery-led category legitimation,Contrarian external stress-testing
M1,C_M2_1,M2,E4,1,Mastery-led category legitimation,Contrarian external stress-testing
M1,C_M2_1,M2,E5,2,Mastery-led category legitimation,Contrarian external stress-testing
M1,C_M2_2,M2,E1,7,Commercial utilization economics,Adversarial user validation
M1,C_M2_2,M2,E2,1,Commercial utilization economics,Adversarial user validation
M1,C_M2_2,M2,E3,4,Commercial utilization economics,Adversarial user validation
M1,C_M2_2,M2,E4,3,Commercial utilization economics,Adversarial user validation
M1,C_M2_2,M2,E5,1,Commercial utilization economics,Adversarial user validation
M1,C_M2_3,M2,E1,4,Mastery as market wedge,Accessibility as justice imperative
M1,C_M2_3,M2,E2,1,Mastery as market wedge,Accessibility as justice imperative
M1,C_M2_3,M2,E3,7,Mastery as market wedge,Accessibility as justice imperative
M1,C_M2_3,M2,E4,1,Mastery as market wedge,Accessibility as justice imperative
M1,C_M2_3,M2,E5,1,Mastery as market wedge,Accessibility as justice imperative
M1,C_M3_1,M3,E1,4,Measurable system constraints of utilization and unit economics,Psychological constraint of category legitimacy and user belief
M1,C_M3_1,M3,E2,1,Measurable system constraints of utilization and unit economics,Psychological constraint of category legitimacy and user belief
M1,C_M3_1,M3,E3,5,Measurable system constraints of utilization and unit economics,Psychological constraint of category legitimacy and user belief
M1,C_M3_1,M3,E4,7,Measurable system constraints of utilization and unit economics,Psychological constraint of category legitimacy and user belief
M1,C_M3_1,M3,E5,2,Measurable system constraints of utilization and unit economics,Psychological constraint of category legitimacy and user belief
M1,C_M3_2,M3,E1,7,Optimizing external positioning to capture defined market adoption,Falsifying internal assumptions through hostile environmental testing
M1,C_M3_2,M3,E2,1,Optimizing external positioning to capture defined market adoption,Falsifying internal assumptions through hostile environmental testing
M1,C_M3_2,M3,E3,3,Optimizing external positioning to capture defined market adoption,Falsifying internal assumptions through hostile environmental testing
M1,C_M3_2,M3,E4,2,Optimizing external positioning to capture defined market adoption,Falsifying internal assumptions through hostile environmental testing
M1,C_M3_2,M3,E5,1,Optimizing external positioning to capture defined market adoption,Falsifying internal assumptions through hostile environmental testing
M1,C_M4_1,M4,E1,3,External validation against skeptical scrutiny,Ethical commitment to marginalized users
M1,C_M4_1,M4,E2,1,External validation against skeptical scrutiny,Ethical commitment to marginalized users
M1,C_M4_1,M4,E3,7,External validation against skeptical scrutiny,Ethical commitment to marginalized users
M1,C_M4_1,M4,E4,2,External validation against skeptical scrutiny,Ethical commitment to marginalized users
M1,C_M4_1,M4,E5,1,External validation against skeptical scrutiny,Ethical commitment to marginalized users
