rater,construct,construct_origin,element,rating,left,right
M1,C_M1_1,M1,E1,4,Cites specific regulations and technical mechanisms (E5),"Argues from brand trust and business principles (E3, E4)"
M1,C_M1_1,M1,E2,5,Cites specific regulations and technical mechanisms (E5),"Argues from brand trust and business principles (E3, E4)"
M1,C_M1_1,M1,E3,7,Cites specific regulations and technical mechanisms (E5),"Argues from brand trust and business principles (E3, E4)"
M1,C_M1_1,M1,E4,7,Cites specific regulations and technical mechanisms (E5),"Argues from brand trust and business principles (E3, E4)"
M1,C_M1_1,M1,E5,1,Cites specific regulations and technical mechanisms (E5),"Argues from brand trust and business principles (E3, E4)"
M1,C_M1_2,M1,E1,1,"Prioritizes AI quality through opt-in training (E1, E2)",Prioritizes trust by forbidding training entirely (E3)
M1,C_M1_2,M1,E2,1,"Prioritizes AI quality through opt-in training (E1, E2)",Prioritizes trust by forbidding training entirely (E3)
M1,C_M1_2,M1,E3,7,"Prioritizes AI quality through opt-in training (E1, E2)",Prioritizes trust by forbidding training entirely (E3)
M1,C_M1_2,M1,E4,7,"Prioritizes AI quality through opt-in training (E1, E2)",Prioritizes trust by forbidding training entirely (E3)
M1,C_M1_2,M1,E5,7,"Prioritizes AI quality through opt-in training (E1, E2)",Prioritizes trust by forbidding training entirely (E3)
M1,C_M1_3,M1,E1,2,Frames health data via regulatory compliance lens (E1),"Frames health data via user intimacy and trust (E3, E4)"
M1,C_M1_3,M1,E2,3,Frames health data via regulatory compliance lens (E1),"Frames health data via user intimacy and trust (E3, E4)"
M1,C_M1_3,M1,E3,7,Frames health data via regulatory compliance lens (E1),"Frames health data via user intimacy and trust (E3, E4)"
M1,C_M1_3,M1,E4,7,Frames health data via regulatory compliance lens (E1),"Frames health data via user intimacy and trust (E3, E4)"
M1,C_M1_3,M1,E5,3,Frames health data via regulatory compliance lens (E1),"Frames health data via user intimacy and trust (E3, E4)"
M1,C_M2_1,M2,E1,1,Opt-in user-data training allowed,Strict no-training on health data
M1,C_M2_1,M2,E2,1,Opt-in user-data training allowed,Strict no-training on health data
M1,C_M2_1,M2,E3,7,Opt-in user-data training allowed,Strict no-training on health data
M1,C_M2_1,M2,E4,7,Opt-in user-data training allowed,Strict no-training on health data
M1,C_M2_1,M2,E5,7,Opt-in user-data training allowed,Strict no-training on health data
M1,C_M2_2,M2,E1,1,Opt-in training to improve personalization,No-training policy to maximize trust
M1,C_M2_2,M2,E2,1,Opt-in training to improve personalization,No-training policy to maximize trust
M1,C_M2_2,M2,E3,7,Opt-in training to improve personalization,No-training policy to maximize trust
M1,C_M2_2,M2,E4,7,Opt-in training to improve personalization,No-training policy to maximize trust
M1,C_M2_2,M2,E5,7,Opt-in training to improve personalization,No-training policy to maximize trust
M1,C_M2_3,M2,E1,1,Adaptive coaching enabled by opt-in training,Trust-first ban on health-data training
M1,C_M2_3,M2,E2,1,Adaptive coaching enabled by opt-in training,Trust-first ban on health-data training
M1,C_M2_3,M2,E3,7,Adaptive coaching enabled by opt-in training,Trust-first ban on health-data training
M1,C_M2_3,M2,E4,7,Adaptive coaching enabled by opt-in training,Trust-first ban on health-data training
M1,C_M2_3,M2,E5,7,Adaptive coaching enabled by opt-in training,Trust-first ban on health-data training
M1,C_M3_1,M3,E1,7,Recommends Option B with strict no-training policy,Recommends Option D with opt-in training allowed
M1,C_M3_1,M3,E2,7,Recommends Option B with strict no-training policy,Recommends Option D with opt-in training allowed
M1,C_M3_1,M3,E3,1,Recommends Option B with strict no-training policy,Recommends Option D with opt-in training allowed
M1,C_M3_1,M3,E4,1,Recommends Option B with strict no-training policy,Recommends Option D with opt-in training allowed
M1,C_M3_1,M3,E5,1,Recommends Option B with strict no-training policy,Recommends Option D with opt-in training allowed
M1,C_M3_2,M3,E1,7,Explicitly cites the two million monthly user metric,Omits any specific user volume metrics
M1,C_M3_2,M3,E2,1,Explicitly cites the two million monthly user metric,Omits any specific user volume metrics
M1,C_M3_2,M3,E3,1,Explicitly cites the two million monthly user metric,Omits any specific user volume metrics
M1,C_M3_2,M3,E4,3,Explicitly cites the two million monthly user metric,Omits any specific user volume metrics
M1,C_M3_2,M3,E5,1,Explicitly cites the two million monthly user metric,Omits any specific user volume metrics
M1,C_M4_1,M4,E1,1,trust and regulatory defensibility as balanced priority,trust as the foundational business imperative
M1,C_M4_1,M4,E2,1,trust and regulatory defensibility as balanced priority,trust as the foundational business imperative
M1,C_M4_1,M4,E3,7,trust and regulatory defensibility as balanced priority,trust as the foundational business imperative
M1,C_M4_1,M4,E4,7,trust and regulatory defensibility as balanced priority,trust as the foundational business imperative
M1,C_M4_1,M4,E5,5,trust and regulatory defensibility as balanced priority,trust as the foundational business imperative
M1,C_M4_2,M4,E1,1,recommends cloud with opt-in training (Option D),recommends no training on user data (Option B)
M1,C_M4_2,M4,E2,1,recommends cloud with opt-in training (Option D),recommends no training on user data (Option B)
M1,C_M4_2,M4,E3,7,recommends cloud with opt-in training (Option D),recommends no training on user data (Option B)
M1,C_M4_2,M4,E4,7,recommends cloud with opt-in training (Option D),recommends no training on user data (Option B)
M1,C_M4_2,M4,E5,7,recommends cloud with opt-in training (Option D),recommends no training on user data (Option B)
M1,C_M4_3,M4,E1,4,prioritized user trust and privacy protection,balanced user experience with privacy safeguards
M1,C_M4_3,M4,E2,4,prioritized user trust and privacy protection,balanced user experience with privacy safeguards
M1,C_M4_3,M4,E3,1,prioritized user trust and privacy protection,balanced user experience with privacy safeguards
M1,C_M4_3,M4,E4,1,prioritized user trust and privacy protection,balanced user experience with privacy safeguards
M1,C_M4_3,M4,E5,2,prioritized user trust and privacy protection,balanced user experience with privacy safeguards
