rater,construct,construct_origin,element,rating,left,right
M1,C_M2_1,M2,E1,1,Rights-and-process legal institutionalism,Outcomes-based liability pragmatism
M1,C_M2_1,M2,E2,7,Rights-and-process legal institutionalism,Outcomes-based liability pragmatism
M1,C_M2_1,M2,E3,1,Rights-and-process legal institutionalism,Outcomes-based liability pragmatism
M1,C_M2_1,M2,E4,3,Rights-and-process legal institutionalism,Outcomes-based liability pragmatism
M1,C_M2_1,M2,E5,3,Rights-and-process legal institutionalism,Outcomes-based liability pragmatism
M1,C_M2_2,M2,E1,1,Domestic implementability through existing law,Geopolitical agility via liability rules
M1,C_M2_2,M2,E2,7,Domestic implementability through existing law,Geopolitical agility via liability rules
M1,C_M2_2,M2,E3,1,Domestic implementability through existing law,Geopolitical agility via liability rules
M1,C_M2_2,M2,E4,5,Domestic implementability through existing law,Geopolitical agility via liability rules
M1,C_M2_2,M2,E5,4,Domestic implementability through existing law,Geopolitical agility via liability rules
M1,C_M2_3,M2,E1,7,Geopolitical leverage against superpowers,Domestic legal-institutional credibility
M1,C_M2_3,M2,E2,2,Geopolitical leverage against superpowers,Domestic legal-institutional credibility
M1,C_M2_3,M2,E3,7,Geopolitical leverage against superpowers,Domestic legal-institutional credibility
M1,C_M2_3,M2,E4,1,Geopolitical leverage against superpowers,Domestic legal-institutional credibility
M1,C_M2_3,M2,E5,2,Geopolitical leverage against superpowers,Domestic legal-institutional credibility
M1,C_M4_1,M4,E1,4,Ex ante capability thresholds,Ex post outcomes liability
M1,C_M4_1,M4,E2,7,Ex ante capability thresholds,Ex post outcomes liability
M1,C_M4_1,M4,E3,4,Ex ante capability thresholds,Ex post outcomes liability
M1,C_M4_1,M4,E4,1,Ex ante capability thresholds,Ex post outcomes liability
M1,C_M4_1,M4,E5,1,Ex ante capability thresholds,Ex post outcomes liability
M1,C_M4_2,M4,E1,3,Proactive administrative governance,Reactive liability litigation
M1,C_M4_2,M4,E2,7,Proactive administrative governance,Reactive liability litigation
M1,C_M4_2,M4,E3,3,Proactive administrative governance,Reactive liability litigation
M1,C_M4_2,M4,E4,1,Proactive administrative governance,Reactive liability litigation
M1,C_M4_2,M4,E5,1,Proactive administrative governance,Reactive liability litigation
M1,C_M4_3,M4,E1,7,Compute-based capability licensing,Rights-based due process governance
M1,C_M4_3,M4,E2,4,Compute-based capability licensing,Rights-based due process governance
