cell_id,task,condition,run_idx,phase,model_short_name,persona_or_neutral,model_id_used,used_fallback,attempts,latency_ms,timestamp_iso,prompt_tokens,completion_tokens,cost_usd
A_N_run1,A,N,1,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,18163,2026-05-21T00:15:51.919105,573,771,0.02214
A_N_run1,A,N,1,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,10637,2026-05-21T00:16:10.093774,352,452,0.01532
A_N_run1,A,N,1,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,16435,2026-05-21T00:16:20.740236,363,1614,0.020094
A_N_run1,A,N,1,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,15019,2026-05-21T00:16:37.183819,346,520,0.00060291
A_N_run1,A,N,1,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,44770,2026-05-21T00:16:52.213164,356,1674,0.00610214
A_N_run1,A,N,1,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,3683,2026-05-21T00:17:36.994053,998,184,0.009590000000000001
A_N_run1,A,N,1,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,25530,2026-05-21T00:17:40.688749,649,1133,0.037235
A_N_run1,A,N,1,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,19383,2026-05-21T00:18:06.227415,669,1995,0.025278
A_N_run1,A,N,1,phase3_constructs,M4,neutral,deepseek/deepseek-v4-flash,True,4,60401,2026-05-21T00:18:25.620825,654,6556,0.001541792
A_N_run1,A,N,1,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,7045,2026-05-21T00:27:20.534701,1665,603,0.0234
A_N_run1,A,N,1,phase4_ratings,M2,neutral,openai/gpt-5.5,False,2,45248,2026-05-21T00:27:27.594159,1080,2500,0.0804
A_N_run1,A,N,1,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,28335,2026-05-21T00:29:05.478072,1139,2496,0.03223
A_N_run1,A,N,1,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,1,151952,2026-05-21T00:29:33.825273,1090,7093,0.0066450599999999995
A_N_run1,A,N,1,phase4_ratings,M5,neutral,moonshotai/kimi-k2.5,True,4,141536,2026-05-21T00:32:05.788244,1077,10171,0.019755699999999998
A_N_run2,A,N,2,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,18058,2026-05-21T01:01:31.873310,573,737,0.02129
A_N_run2,A,N,2,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,10939,2026-05-21T01:01:49.944663,352,535,0.017810000000000003
A_N_run2,A,N,2,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,16086,2026-05-21T01:02:00.898490,363,1403,0.017562
A_N_run2,A,N,2,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,33023,2026-05-21T01:02:16.999399,346,976,0.00099963
A_N_run2,A,N,2,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,57652,2026-05-21T01:02:50.040168,357,1674,0.00610287
A_N_run2,A,N,2,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,3661,2026-05-21T01:03:47.710443,1069,185,0.009970000000000001
A_N_run2,A,N,2,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,27680,2026-05-21T01:03:51.385296,691,1110,0.036755
A_N_run2,A,N,2,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,24606,2026-05-21T01:04:19.081437,706,1996,0.025364
A_N_run2,A,N,2,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,1,111920,2026-05-21T01:04:43.704827,693,5067,0.004709745
A_N_run2,A,N,2,phase3_constructs,M5,neutral,moonshotai/kimi-k2.6,False,1,573123,2026-05-21T01:06:35.642053,695,21701,0.07624384000000001
A_N_run2,A,N,2,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,8737,2026-05-21T01:16:08.784703,1957,843,0.03086
A_N_run2,A,N,2,phase4_ratings,M2,neutral,openai/gpt-5.5,False,2,36688,2026-05-21T01:16:17.538512,1244,2500,0.08122
A_N_run2,A,N,2,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,20442,2026-05-21T01:17:38.601890,1296,2496,0.032544
A_N_run2,A,N,2,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,1,64429,2026-05-21T01:17:59.064068,1245,3204,0.003329055
A_N_run2,A,N,2,phase4_ratings,M5,neutral,moonshotai/kimi-k2.6,False,1,335639,2026-05-21T01:19:03.512548,1237,12027,0.042877240000000004
A_N_run3,A,N,3,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,17920,2026-05-21T01:24:39.221788,573,768,0.022065
A_N_run3,A,N,3,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,11757,2026-05-21T01:24:57.159685,352,528,0.0176
A_N_run3,A,N,3,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,24562,2026-05-21T01:25:08.935030,363,1778,0.022062000000000002
A_N_run3,A,N,3,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,34789,2026-05-21T01:25:33.513440,346,1053,0.0010666200000000001
A_N_run3,A,N,3,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,34610,2026-05-21T01:26:08.322613,357,1758,0.00639603
A_N_run3,A,N,3,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,3728,2026-05-21T01:26:42.957649,1025,177,0.00955
A_N_run3,A,N,3,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,13077,2026-05-21T01:26:46.702863,657,594,0.021105
A_N_run3,A,N,3,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,17591,2026-05-21T01:26:59.799190,670,1996,0.025292000000000002
A_N_run3,A,N,3,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,1,149470,2026-05-21T01:27:17.409040,659,4432,0.004142505
A_N_run3,A,N,3,phase3_constructs,M5,neutral,moonshotai/kimi-k2.5,True,4,206040,2026-05-21T01:29:46.899037,662,7782,0.0150506
A_N_run3,A,N,3,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,9253,2026-05-21T01:34:50.392144,1855,843,0.030350000000000002
A_N_run3,A,N,3,phase4_ratings,M2,neutral,openai/gpt-5.4,True,4,7356,2026-05-21T01:34:59.664406,1186,703,0.013510000000000001
A_N_run3,A,N,3,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,19343,2026-05-21T01:37:34.671467,1249,2496,0.03245
A_N_run3,A,N,3,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,1,333506,2026-05-21T01:37:54.032661,1186,9681,0.00893838
A_N_run3,A,N,3,phase4_ratings,M5,neutral,moonshotai/kimi-k2.5,True,4,86949,2026-05-21T01:43:27.561454,1178,3203,0.0065569
A_N_run4,A,N,4,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,17831,2026-05-21T01:48:42.598702,573,756,0.021765
A_N_run4,A,N,4,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,14043,2026-05-21T01:49:00.451383,352,499,0.016730000000000002
A_N_run4,A,N,4,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,15540,2026-05-21T01:49:14.514185,363,1594,0.019854
A_N_run4,A,N,4,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,39451,2026-05-21T01:49:30.077075,346,1228,0.00121887
A_N_run4,A,N,4,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,102285,2026-05-21T01:50:09.549011,356,3152,0.01126036
A_N_run4,A,N,4,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,6406,2026-05-21T01:51:51.860051,1099,357,0.014420000000000002
A_N_run4,A,N,4,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,15960,2026-05-21T01:51:58.285931,709,860,0.029345
A_N_run4,A,N,4,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,20139,2026-05-21T01:52:14.265441,718,1996,0.025388
A_N_run4,A,N,4,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,3,156269,2026-05-21T01:52:34.428853,713,7946,0.007223175000000001
A_N_run4,A,N,4,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,6356,2026-05-21T01:59:48.342273,1672,603,0.023435
A_N_run4,A,N,4,phase4_ratings,M2,neutral,openai/gpt-5.5,False,2,34366,2026-05-21T01:59:54.719234,1087,2312,0.074795
