rater,construct,construct_origin,element,rating,left,right
M1,C_M1_1,M1,E1,5,"Treat AI as ordinary, adapt existing structures (E2, E3)","Treat AI as exceptional, center harmed humans (E4)"
M1,C_M1_1,M1,E2,2,"Treat AI as ordinary, adapt existing structures (E2, E3)","Treat AI as exceptional, center harmed humans (E4)"
M1,C_M1_1,M1,E3,1,"Treat AI as ordinary, adapt existing structures (E2, E3)","Treat AI as exceptional, center harmed humans (E4)"
M1,C_M1_1,M1,E4,7,"Treat AI as ordinary, adapt existing structures (E2, E3)","Treat AI as exceptional, center harmed humans (E4)"
M1,C_M1_1,M1,E5,6,"Treat AI as ordinary, adapt existing structures (E2, E3)","Treat AI as exceptional, center harmed humans (E4)"
M1,C_M1_2,M1,E1,4,"Avoid bespoke AI architecture, leverage adaptive mechanisms (E2, E3)",Build dedicated frontier-AI gatekeeping regime (E5)
M1,C_M1_2,M1,E2,2,"Avoid bespoke AI architecture, leverage adaptive mechanisms (E2, E3)",Build dedicated frontier-AI gatekeeping regime (E5)
M1,C_M1_2,M1,E3,1,"Avoid bespoke AI architecture, leverage adaptive mechanisms (E2, E3)",Build dedicated frontier-AI gatekeeping regime (E5)
M1,C_M1_2,M1,E4,4,"Avoid bespoke AI architecture, leverage adaptive mechanisms (E2, E3)",Build dedicated frontier-AI gatekeeping regime (E5)
M1,C_M1_2,M1,E5,7,"Avoid bespoke AI architecture, leverage adaptive mechanisms (E2, E3)",Build dedicated frontier-AI gatekeeping regime (E5)
M1,C_M1_3,M1,E1,2,"Govern downstream outcomes and deployment effects (E2, E4)",Govern upstream model capabilities pre-deployment (E5)
M1,C_M1_3,M1,E2,2,"Govern downstream outcomes and deployment effects (E2, E4)",Govern upstream model capabilities pre-deployment (E5)
M1,C_M1_3,M1,E3,3,"Govern downstream outcomes and deployment effects (E2, E4)",Govern upstream model capabilities pre-deployment (E5)
M1,C_M1_3,M1,E4,2,"Govern downstream outcomes and deployment effects (E2, E4)",Govern upstream model capabilities pre-deployment (E5)
M1,C_M1_3,M1,E5,7,"Govern downstream outcomes and deployment effects (E2, E4)",Govern upstream model capabilities pre-deployment (E5)
