rater,construct,construct_origin,element,rating,left,right
M1,C_M1_1,M1,E1,1,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option
M1,C_M1_1,M1,E2,5,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option
M1,C_M1_1,M1,E3,6,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option
M1,C_M1_1,M1,E4,1,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option
M1,C_M1_1,M1,E5,7,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option
M1,C_M1_2,M1,E1,3,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises"
M1,C_M1_2,M1,E2,4,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises"
M1,C_M1_2,M1,E3,1,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises"
M1,C_M1_2,M1,E4,7,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises"
M1,C_M1_2,M1,E5,7,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises"
M1,C_M1_3,M1,E1,3,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital
M1,C_M1_3,M1,E2,1,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital
M1,C_M1_3,M1,E3,3,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital
M1,C_M1_3,M1,E4,2,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital
M1,C_M1_3,M1,E5,7,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital
M1,C_M2_1,M2,E1,1,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2)
M1,C_M2_1,M2,E2,7,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2)
M1,C_M2_1,M2,E3,1,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2)
M1,C_M2_1,M2,E4,5,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2)
M1,C_M2_1,M2,E5,5,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2)
M1,C_M2_2,M2,E1,1,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4)
M1,C_M2_2,M2,E2,5,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4)
M1,C_M2_2,M2,E3,1,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4)
M1,C_M2_2,M2,E4,7,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4)
M1,C_M2_2,M2,E5,4,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4)
M1,C_M2_3,M2,E1,7,Workflow-layer value transformation (E2/E4),Product-layer innovation race skepticism (E1)
