rater,construct,construct_origin,element,rating,left,right
M1,C_M1_1,M1,E1,1,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis
M1,C_M1_1,M1,E2,1,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis
M1,C_M1_1,M1,E3,7,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis
M1,C_M1_1,M1,E4,1,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis
M1,C_M1_1,M1,E5,7,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis
M1,C_M1_2,M1,E1,1,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model
M1,C_M1_2,M1,E2,1,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model
M1,C_M1_2,M1,E3,7,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model
M1,C_M1_2,M1,E4,1,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model
M1,C_M1_2,M1,E5,7,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model
M1,C_M1_3,M1,E1,7,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture
M1,C_M1_3,M1,E2,1,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture
M1,C_M1_3,M1,E3,1,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture
M1,C_M1_3,M1,E4,4,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture
M1,C_M1_3,M1,E5,1,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture
M1,C_M2_1,M2,E1,1,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch
M1,C_M2_1,M2,E2,1,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch
M1,C_M2_1,M2,E3,7,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch
M1,C_M2_1,M2,E4,1,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch
M1,C_M2_1,M2,E5,7,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch
M1,C_M2_2,M2,E1,1,Layoff-centered trust rupture diagnosis,Process-driven leadership mismatch diagnosis
M1,C_M2_2,M2,E2,1,Layoff-centered trust rupture diagnosis,Process-driven leadership mismatch diagnosis
