rater,construct,construct_origin,element,rating,left,right
M1,C_M2_1,M2,E1,5,SOFA-based operational justification,Pure ethical scarcity framing
M1,C_M2_1,M2,E2,2,SOFA-based operational justification,Pure ethical scarcity framing
M1,C_M2_1,M2,E3,1,SOFA-based operational justification,Pure ethical scarcity framing
M1,C_M2_1,M2,E4,2,SOFA-based operational justification,Pure ethical scarcity framing
M1,C_M2_1,M2,E5,5,SOFA-based operational justification,Pure ethical scarcity framing
M1,C_M2_2,M2,E1,3,Explicit life-maximization mandate,Worth-neutral bedside question
M1,C_M2_2,M2,E2,2,Explicit life-maximization mandate,Worth-neutral bedside question
M1,C_M2_2,M2,E3,1,Explicit life-maximization mandate,Worth-neutral bedside question
M1,C_M2_2,M2,E4,1,Explicit life-maximization mandate,Worth-neutral bedside question
M1,C_M2_2,M2,E5,6,Explicit life-maximization mandate,Worth-neutral bedside question
M1,C_M2_3,M2,E1,3,Procedural auditability and legal defensibility,Moral case for saving most lives
M1,C_M2_3,M2,E2,2,Procedural auditability and legal defensibility,Moral case for saving most lives
M1,C_M2_3,M2,E3,3,Procedural auditability and legal defensibility,Moral case for saving most lives
M1,C_M2_3,M2,E4,5,Procedural auditability and legal defensibility,Moral case for saving most lives
M1,C_M2_3,M2,E5,6,Procedural auditability and legal defensibility,Moral case for saving most lives
M1,C_M3_1,M3,E1,1,"Focuses on eliminating hidden, informal bedside rationing via transparency",Focuses strictly on the ethical philosophy of valuing human life
M1,C_M3_1,M3,E2,2,"Focuses on eliminating hidden, informal bedside rationing via transparency",Focuses strictly on the ethical philosophy of valuing human life
M1,C_M3_1,M3,E3,3,"Focuses on eliminating hidden, informal bedside rationing via transparency",Focuses strictly on the ethical philosophy of valuing human life
M1,C_M3_1,M3,E4,5,"Focuses on eliminating hidden, informal bedside rationing via transparency",Focuses strictly on the ethical philosophy of valuing human life
M1,C_M3_1,M3,E5,6,"Focuses on eliminating hidden, informal bedside rationing via transparency",Focuses strictly on the ethical philosophy of valuing human life
M1,C_M3_2,M3,E1,5,"Cites specific, validated clinical tools and operational metrics like SOFA",Relies conceptually on high-level ethical and moral reasoning
M1,C_M3_2,M3,E2,2,"Cites specific, validated clinical tools and operational metrics like SOFA",Relies conceptually on high-level ethical and moral reasoning
M1,C_M3_2,M3,E3,1,"Cites specific, validated clinical tools and operational metrics like SOFA",Relies conceptually on high-level ethical and moral reasoning
M1,C_M3_2,M3,E4,2,"Cites specific, validated clinical tools and operational metrics like SOFA",Relies conceptually on high-level ethical and moral reasoning
M1,C_M3_2,M3,E5,6,"Cites specific, validated clinical tools and operational metrics like SOFA",Relies conceptually on high-level ethical and moral reasoning
M1,C_M4_1,M4,E1,6,Emphasizes clinical mandate and operational clarity.,"E1 explicitly invokes systemic factors (trust, hidden decisions), while E4 and E5 stay on clinical or ethical principle."
M1,C_M4_1,M4,E2,5,Emphasizes clinical mandate and operational clarity.,"E1 explicitly invokes systemic factors (trust, hidden decisions), while E4 and E5 stay on clinical or ethical principle."
M1,C_M4_1,M4,E3,2,Emphasizes clinical mandate and operational clarity.,"E1 explicitly invokes systemic factors (trust, hidden decisions), while E4 and E5 stay on clinical or ethical principle."
M1,C_M4_1,M4,E4,1,Emphasizes clinical mandate and operational clarity.,"E1 explicitly invokes systemic factors (trust, hidden decisions), while E4 and E5 stay on clinical or ethical principle."
M1,C_M4_1,M4,E5,2,Emphasizes clinical mandate and operational clarity.,"E1 explicitly invokes systemic factors (trust, hidden decisions), while E4 and E5 stay on clinical or ethical principle."
M1,C_M4_2,M4,E1,4,"Cites procedural justifications (auditability, embedded practice).","E5 frames the issue as a pure ethical question, while E2 and E3 ground it in clinical logistics and tool validation."
M1,C_M4_2,M4,E2,2,"Cites procedural justifications (auditability, embedded practice).","E5 frames the issue as a pure ethical question, while E2 and E3 ground it in clinical logistics and tool validation."
M1,C_M4_2,M4,E3,2,"Cites procedural justifications (auditability, embedded practice).","E5 frames the issue as a pure ethical question, while E2 and E3 ground it in clinical logistics and tool validation."
M1,C_M4_2,M4,E4,3,"Cites procedural justifications (auditability, embedded practice).","E5 frames the issue as a pure ethical question, while E2 and E3 ground it in clinical logistics and tool validation."
M1,C_M4_2,M4,E5,7,"Cites procedural justifications (auditability, embedded practice).","E5 frames the issue as a pure ethical question, while E2 and E3 ground it in clinical logistics and tool validation."
M1,C_M4_3,M4,E1,1,References systemic context of the decision-making environment.,"E2 and E3 are anchored in protocol details and tool specificity, while E1 emphasizes the breakdown of institutional trust."
M1,C_M4_3,M4,E2,3,References systemic context of the decision-making environment.,"E2 and E3 are anchored in protocol details and tool specificity, while E1 emphasizes the breakdown of institutional trust."
M1,C_M4_3,M4,E3,3,References systemic context of the decision-making environment.,"E2 and E3 are anchored in protocol details and tool specificity, while E1 emphasizes the breakdown of institutional trust."
M1,C_M4_3,M4,E4,5,References systemic context of the decision-making environment.,"E2 and E3 are anchored in protocol details and tool specificity, while E1 emphasizes the breakdown of institutional trust."
M1,C_M4_3,M4,E5,6,References systemic context of the decision-making environment.,"E2 and E3 are anchored in protocol details and tool specificity, while E1 emphasizes the breakdown of institutional trust."
M1,C_M5_1,M5,E1,2,Procedural transparency eliminating hidden discretion,Maximizing objective lives saved mandate
M1,C_M5_1,M5,E2,2,Procedural transparency eliminating hidden discretion,Maximizing objective lives saved mandate
M1,C_M5_1,M5,E3,5,Procedural transparency eliminating hidden discretion,Maximizing objective lives saved mandate
M1,C_M5_1,M5,E4,6,Procedural transparency eliminating hidden discretion,Maximizing objective lives saved mandate
M1,C_M5_1,M5,E5,5,Procedural transparency eliminating hidden discretion,Maximizing objective lives saved mandate
M1,C_M5_2,M5,E1,3,Clinical medical instrumentality,Philosophical ethical inquiry
M1,C_M5_2,M5,E2,2,Clinical medical instrumentality,Philosophical ethical inquiry
M1,C_M5_2,M5,E3,1,Clinical medical instrumentality,Philosophical ethical inquiry
M1,C_M5_2,M5,E4,2,Clinical medical instrumentality,Philosophical ethical inquiry
M1,C_M5_2,M5,E5,6,Clinical medical instrumentality,Philosophical ethical inquiry
M1,C_M5_3,M5,E1,5,Substantive ethical justification,Institutional accountability mechanisms
M1,C_M5_3,M5,E2,5,Substantive ethical justification,Institutional accountability mechanisms
M1,C_M5_3,M5,E3,2,Substantive ethical justification,Institutional accountability mechanisms
M1,C_M5_3,M5,E4,2,Substantive ethical justification,Institutional accountability mechanisms
M1,C_M5_3,M5,E5,3,Substantive ethical justification,Institutional accountability mechanisms
M2,C_M2_1,M2,E1,2,SOFA-based operational justification,Pure ethical scarcity framing
